Crop ID,Date,Year,State,District,Season,Crop Name,Area (Hectares),Production (Tonnes),Yield (Kg/Ha),Irrigation Type,Fertilizer Type,Fertilizer Used (Kg),Rainfall (mm),Soil Type,Temperature (Celsius)
CID1,2010-04-03,2010,Uttar Pradesh,Lucknow,Zaid,Maize,25.24,46.37,1837.23,Canal,Urea,219.17,1092.18,Black,28.86
CID2,2013-04-11,2013,Punjab,Ludhiana,Zaid,Pulses,3.63,7.96,2193.03,Drip,Compost,105.11,789.27,Black,31.38
CID3,2012-10-16,2012,Maharashtra,Pune,Kharif,Maize,11.12,36.47,3279.56,Rainfed,Urea,261.87,803.73,Black,30.95
CID4,2018-11-21,2018,Karnataka,Bangalore,Rabi,Cotton,62.23,383.97,6170.24,Borewell,DAP,226.14,245.82,Red,31.6
CID5,2016-12-14,2016,West Bengal,Kolkata,Rabi,Sugarcane,63.93,203.87,3188.99,Rainfed,Vermicompost,138.82,870.18,Black,29.14
CID6,2012-11-09,2012,Uttar Pradesh,Lucknow,Rabi,Sugarcane,27.72,181.63,6552.35,Borewell,NPK,221.15,1042.85,Black,23.44
CID7,2011-07-06,2011,Karnataka,Mysore,Kharif,Pulses,87.76,253.46,2888.07,Drip,DAP,148.91,1114.55,Laterite,22.14
CID8,2018-11-24,2018,Uttar Pradesh,Varanasi,Rabi,Cotton,58.87,376.0,6386.94,Drip,Urea,140.5,1197.33,Red,27.64
CID9,2012-05-06,2012,West Bengal,Kolkata,Zaid,Rice,79.42,280.59,3532.96,Canal,Urea,146.19,795.89,Laterite,27.94
CID10,2011-05-17,2011,Uttar Pradesh,Varanasi,Zaid,Pulses,75.34,422.78,5611.59,Rainfed,NPK,77.89,634.77,Laterite,20.05
CID11,2018-10-14,2018,Bihar,Patna,Kharif,Cotton,30.55,147.67,4833.7,Borewell,Urea,88.21,962.51,Sandy,34.3
CID12,2017-06-22,2017,Bihar,Gaya,Kharif,Wheat,92.98,583.2,6272.33,Rainfed,Compost,109.86,440.87,Sandy,34.2
CID13,2022-05-30,2022,West Bengal,Kolkata,Zaid,Rice,13.71,52.81,3851.69,Borewell,Vermicompost,116.26,1072.43,Laterite,34.47
CID14,2021-06-17,2021,West Bengal,Darjeeling,Kharif,Cotton,31.86,222.09,6970.9,Rainfed,NPK,159.53,717.58,Black,23.72
CID15,2018-07-31,2018,Punjab,Patiala,Kharif,Pulses,22.8,32.51,1425.96,Canal,NPK,107.24,1105.42,Alluvial,21.06
CID16,2013-04-07,2013,Uttar Pradesh,Kanpur,Zaid,Rice,72.61,457.03,6294.3,Drip,Compost,110.75,672.97,Laterite,22.86
CID17,2016-12-19,2016,Maharashtra,Pune,Rabi,Cotton,6.36,31.3,4920.73,Canal,Vermicompost,65.15,928.21,Black,23.73
CID18,2016-10-17,2016,Karnataka,Bangalore,Kharif,Maize,46.8,292.36,6246.92,Canal,Urea,160.78,1061.35,Sandy,21.47
CID19,2013-02-25,2012,Punjab,Ludhiana,Rabi,Sugarcane,48.65,301.04,6187.9,Canal,NPK,91.16,202.16,Laterite,23.98
CID20,2021-04-21,2021,Karnataka,Hubli,Zaid,Cotton,72.12,139.1,1928.78,Rainfed,Urea,104.43,258.48,Sandy,20.91
CID21,2017-04-16,2017,Punjab,Patiala,Zaid,Pulses,16.59,112.23,6764.67,Canal,Compost,262.84,268.52,Black,30.13
CID22,2013-04-26,2013,Punjab,Patiala,Zaid,Pulses,4.93,7.36,1491.9,Rainfed,DAP,283.68,404.26,Alluvial,23.58
CID23,2014-12-25,2014,Uttar Pradesh,Varanasi,Rabi,Maize,92.97,614.94,6614.41,Canal,Vermicompost,164.57,1198.45,Black,21.1
CID24,2015-10-20,2015,Maharashtra,Nagpur,Kharif,Rice,37.58,73.15,1946.48,Rainfed,NPK,202.92,1187.23,Sandy,20.12
CID25,2013-01-07,2012,Uttar Pradesh,Lucknow,Rabi,Wheat,89.08,485.89,5454.5,Borewell,Vermicompost,118.09,804.83,Alluvial,23.05
CID26,2010-09-22,2010,Karnataka,Mysore,Kharif,Cotton,42.93,114.2,2660.08,Canal,Vermicompost,133.39,330.82,Alluvial,22.42
CID27,2018-09-19,2018,Uttar Pradesh,Kanpur,Kharif,Wheat,8.45,53.22,6298.64,Borewell,DAP,186.4,1034.6,Sandy,28.29
CID28,2015-07-10,2015,Punjab,Amritsar,Kharif,Maize,21.8,54.44,2497.18,Canal,DAP,138.42,759.88,Laterite,34.61
CID29,2022-06-28,2022,West Bengal,Kolkata,Kharif,Sugarcane,3.45,18.7,5419.39,Rainfed,Compost,245.6,611.71,Red,24.0
CID30,2017-07-20,2017,West Bengal,Kolkata,Kharif,Rice,81.84,307.87,3761.82,Rainfed,Compost,255.13,1071.32,Red,20.35
CID31,2012-01-07,2011,Maharashtra,Pune,Rabi,Maize,64.51,219.21,3398.07,Rainfed,Urea,284.81,315.34,Alluvial,22.68
CID32,2017-02-20,2016,Punjab,Patiala,Rabi,Cotton,78.86,285.34,3618.36,Canal,Urea,146.3,776.59,Alluvial,20.67
CID33,2020-05-13,2020,Bihar,Bhagalpur,Zaid,Cotton,73.97,161.42,2182.21,Drip,Urea,67.49,864.24,Alluvial,29.35
CID34,2018-12-15,2018,Uttar Pradesh,Kanpur,Rabi,Cotton,41.43,141.46,3414.4,Rainfed,Vermicompost,188.6,391.84,Laterite,30.16
CID35,2016-05-21,2016,Bihar,Gaya,Zaid,Wheat,31.08,70.27,2261.1,Rainfed,DAP,166.25,642.16,Red,27.67
CID36,2014-04-03,2014,Uttar Pradesh,Lucknow,Zaid,Cotton,63.66,191.69,3011.13,Borewell,DAP,218.2,424.64,Red,22.21
CID37,2022-06-02,2022,Karnataka,Hubli,Kharif,Sugarcane,42.03,200.84,4778.59,Borewell,Urea,229.59,583.98,Laterite,23.66
CID38,2013-10-14,2013,West Bengal,Howrah,Kharif,Cotton,52.28,68.03,1301.31,Borewell,Vermicompost,279.37,321.36,Red,32.02
CID39,2023-03-02,2022,Bihar,Gaya,Rabi,Pulses,81.69,518.9,6352.12,Drip,Compost,257.64,747.87,Red,31.15
CID40,2021-03-19,2020,Maharashtra,Nagpur,Rabi,Pulses,48.98,119.29,2435.48,Drip,Urea,69.37,485.73,Alluvial,25.04
CID41,2014-02-16,2013,Haryana,Gurgaon,Rabi,Cotton,16.13,36.84,2283.72,Drip,Compost,151.9,742.61,Laterite,20.93
CID42,2021-10-18,2021,West Bengal,Darjeeling,Kharif,Pulses,38.66,40.03,1035.38,Rainfed,Vermicompost,124.65,589.99,Laterite,28.07
CID43,2014-03-17,2013,Haryana,Faridabad,Rabi,Sugarcane,49.08,163.59,3333.14,Drip,Urea,231.05,1040.51,Red,34.71
CID44,2019-04-21,2019,Karnataka,Hubli,Zaid,Wheat,9.31,33.25,3571.68,Drip,NPK,95.43,460.16,Alluvial,23.17
CID45,2014-11-11,2014,West Bengal,Howrah,Rabi,Maize,83.66,319.74,3821.84,Canal,Urea,299.98,549.96,Black,31.72
CID46,2010-04-11,2010,Haryana,Gurgaon,Zaid,Rice,24.62,94.57,3841.37,Canal,Vermicompost,190.99,417.96,Alluvial,31.5
CID47,2021-07-21,2021,Bihar,Bhagalpur,Kharif,Rice,96.51,159.11,1648.59,Canal,Urea,282.22,775.8,Laterite,25.95
CID48,2020-09-18,2020,Bihar,Bhagalpur,Kharif,Wheat,70.02,196.72,2809.5,Canal,NPK,249.06,765.93,Black,25.21
CID49,2021-02-20,2020,Punjab,Patiala,Rabi,Wheat,85.11,505.04,5933.99,Canal,DAP,158.38,562.19,Laterite,30.61
CID50,2021-01-02,2020,Uttar Pradesh,Varanasi,Rabi,Pulses,81.01,342.59,4229.04,Drip,Urea,166.22,1025.73,Sandy,24.03
CID51,2014-01-06,2013,Maharashtra,Pune,Rabi,Pulses,61.42,201.09,3273.94,Canal,NPK,173.58,525.01,Laterite,23.18
CID52,2022-03-02,2021,Maharashtra,Mumbai,Rabi,Pulses,2.0,13.38,6688.38,Canal,Compost,110.34,606.43,Sandy,31.37
CID53,2012-03-20,2011,Karnataka,Bangalore,Rabi,Rice,41.04,100.95,2459.83,Rainfed,NPK,168.32,730.92,Laterite,34.95
CID54,2018-03-04,2017,Maharashtra,Mumbai,Rabi,Maize,25.89,44.63,1723.94,Borewell,NPK,128.89,942.88,Red,22.87
CID55,2022-05-05,2022,Uttar Pradesh,Varanasi,Zaid,Pulses,29.02,46.52,1603.16,Borewell,DAP,124.06,560.88,Alluvial,20.21
CID56,2010-04-29,2010,Maharashtra,Nagpur,Zaid,Maize,70.04,123.11,1757.68,Drip,NPK,75.65,212.27,Alluvial,27.04
CID57,2015-03-25,2014,Haryana,Gurgaon,Rabi,Wheat,82.39,280.48,3404.24,Canal,NPK,194.26,886.45,Red,22.24
CID58,2011-05-08,2011,Punjab,Ludhiana,Zaid,Sugarcane,61.03,350.58,5744.44,Borewell,Compost,243.92,580.38,Laterite,24.46
CID59,2019-07-15,2019,Maharashtra,Mumbai,Kharif,Pulses,96.05,153.24,1595.4,Borewell,Vermicompost,206.38,464.65,Black,22.36
CID60,2010-12-30,2010,Punjab,Ludhiana,Rabi,Sugarcane,69.25,264.5,3819.47,Canal,NPK,107.87,906.96,Laterite,21.07
CID61,2019-05-21,2019,West Bengal,Darjeeling,Zaid,Rice,43.09,183.88,4267.37,Borewell,NPK,277.1,1026.63,Black,20.89
CID62,2019-11-11,2019,Bihar,Bhagalpur,Rabi,Sugarcane,13.31,68.31,5132.07,Drip,Compost,285.67,700.47,Laterite,26.57
CID63,2019-12-15,2019,Uttar Pradesh,Kanpur,Rabi,Wheat,10.04,67.99,6771.47,Canal,Compost,299.89,872.28,Alluvial,28.64
CID64,2017-11-27,2017,Bihar,Bhagalpur,Rabi,Rice,99.7,360.45,3615.31,Drip,DAP,292.26,670.01,Laterite,25.0
CID65,2022-02-12,2021,Maharashtra,Pune,Rabi,Maize,66.6,226.62,3402.71,Canal,Vermicompost,163.71,514.52,Alluvial,21.74
CID66,2020-04-14,2020,West Bengal,Kolkata,Zaid,Sugarcane,41.91,89.08,2125.5,Rainfed,NPK,205.66,698.49,Laterite,31.4
CID67,2014-11-24,2014,Bihar,Patna,Rabi,Cotton,48.99,57.48,1173.22,Borewell,DAP,227.45,510.75,Black,28.28
CID68,2017-08-02,2017,West Bengal,Kolkata,Kharif,Cotton,83.38,332.71,3990.25,Rainfed,Compost,177.22,473.42,Laterite,34.7
CID69,2016-10-08,2016,Bihar,Patna,Kharif,Pulses,51.32,322.08,6275.96,Canal,NPK,119.06,990.01,Laterite,25.1
CID70,2014-05-06,2014,West Bengal,Kolkata,Zaid,Maize,83.91,375.88,4479.54,Drip,Vermicompost,266.32,646.55,Laterite,25.18
CID71,2015-07-09,2015,Karnataka,Mysore,Kharif,Cotton,24.64,81.26,3297.83,Drip,Compost,60.91,944.71,Laterite,25.79
CID72,2018-04-27,2018,Punjab,Ludhiana,Zaid,Maize,87.1,543.95,6245.14,Drip,DAP,74.93,1110.44,Black,30.84
CID73,2023-01-21,2022,Punjab,Amritsar,Rabi,Maize,62.7,212.23,3384.9,Canal,Compost,262.94,1052.34,Sandy,25.7
CID74,2010-05-19,2010,West Bengal,Darjeeling,Zaid,Wheat,24.24,123.78,5106.4,Rainfed,Urea,299.36,946.77,Laterite,34.68
CID75,2022-03-25,2021,Karnataka,Bangalore,Rabi,Wheat,5.55,32.06,5776.86,Rainfed,DAP,139.62,630.69,Red,27.97
CID76,2011-04-01,2011,Haryana,Gurgaon,Zaid,Sugarcane,62.35,152.44,2444.98,Borewell,Compost,108.05,837.9,Laterite,23.83
CID77,2018-08-17,2018,Maharashtra,Mumbai,Kharif,Wheat,44.73,137.47,3073.39,Rainfed,DAP,209.73,624.31,Alluvial,26.85
CID78,2011-10-23,2011,Karnataka,Mysore,Kharif,Sugarcane,57.62,256.34,4448.87,Rainfed,Urea,55.48,1030.04,Laterite,24.12
CID79,2017-11-11,2017,Bihar,Bhagalpur,Rabi,Rice,61.1,190.26,3113.93,Borewell,NPK,205.22,877.76,Red,29.42
CID80,2010-05-05,2010,West Bengal,Howrah,Zaid,Maize,73.5,113.25,1540.8,Rainfed,NPK,131.68,615.5,Red,21.98
CID81,2014-06-20,2014,Bihar,Bhagalpur,Kharif,Maize,91.49,609.79,6665.13,Rainfed,DAP,236.64,538.72,Black,27.02
CID82,2020-04-30,2020,West Bengal,Kolkata,Zaid,Cotton,98.01,666.82,6803.62,Rainfed,NPK,72.58,594.57,Alluvial,28.05
CID83,2021-03-24,2020,Uttar Pradesh,Varanasi,Rabi,Pulses,38.72,187.07,4831.3,Rainfed,NPK,77.09,433.82,Black,29.29
CID84,2020-08-17,2020,Bihar,Patna,Kharif,Cotton,82.56,533.03,6456.33,Rainfed,Compost,212.31,316.68,Black,34.19
CID85,2013-05-24,2013,Punjab,Ludhiana,Zaid,Rice,39.48,127.37,3226.07,Drip,Compost,196.84,926.6,Laterite,29.82
CID86,2014-08-31,2014,Bihar,Gaya,Kharif,Cotton,37.68,137.92,3660.3,Borewell,Urea,263.86,299.35,Alluvial,28.17
CID87,2013-07-23,2013,Karnataka,Mysore,Kharif,Sugarcane,10.08,22.91,2272.63,Canal,Urea,62.64,533.51,Red,31.8
CID88,2013-04-10,2013,West Bengal,Darjeeling,Zaid,Rice,81.49,195.41,2397.99,Borewell,DAP,247.16,795.98,Alluvial,32.88
CID89,2022-07-15,2022,Bihar,Gaya,Kharif,Wheat,66.44,76.72,1154.68,Canal,NPK,139.56,988.43,Sandy,24.86
CID90,2021-12-27,2021,Punjab,Ludhiana,Rabi,Pulses,12.25,16.92,1381.35,Drip,Vermicompost,244.5,713.24,Black,26.78
CID91,2022-04-07,2022,Punjab,Patiala,Zaid,Pulses,30.86,149.98,4860.04,Canal,Compost,65.21,678.98,Laterite,26.39
CID92,2011-10-31,2011,Uttar Pradesh,Kanpur,Kharif,Maize,61.22,85.35,1394.09,Rainfed,Vermicompost,206.08,785.36,Alluvial,25.71
CID93,2018-04-30,2018,Maharashtra,Pune,Zaid,Sugarcane,10.82,56.38,5210.68,Borewell,Compost,157.52,1088.09,Laterite,25.08
CID94,2011-11-24,2011,Karnataka,Hubli,Rabi,Sugarcane,31.94,80.79,2529.34,Borewell,Compost,221.71,674.27,Black,32.48
CID95,2021-11-14,2021,Punjab,Patiala,Rabi,Rice,56.08,253.41,4518.79,Rainfed,NPK,217.5,610.81,Laterite,33.02
CID96,2015-08-11,2015,Bihar,Gaya,Kharif,Pulses,51.23,98.79,1928.38,Drip,Vermicompost,106.06,308.22,Sandy,25.51
CID97,2018-04-23,2018,Haryana,Faridabad,Zaid,Pulses,67.82,294.37,4340.44,Rainfed,Urea,57.24,473.27,Alluvial,33.82
CID98,2019-04-22,2019,Haryana,Gurgaon,Zaid,Sugarcane,7.89,42.97,5445.81,Canal,DAP,72.94,730.48,Laterite,26.3
CID99,2022-02-17,2021,Maharashtra,Pune,Rabi,Pulses,60.03,378.19,6300.05,Borewell,Compost,89.35,817.84,Black,24.08
CID100,2017-01-18,2016,Bihar,Gaya,Rabi,Rice,75.74,127.46,1682.91,Drip,Urea,77.72,878.22,Sandy,27.3
CID101,2019-09-19,2019,Haryana,Faridabad,Kharif,Wheat,21.24,141.71,6671.94,Borewell,DAP,241.04,489.45,Black,20.12
CID102,2018-04-30,2018,Haryana,Faridabad,Zaid,Rice,50.53,303.19,6000.13,Rainfed,Urea,68.02,1061.76,Black,26.54
CID103,2020-02-26,2019,West Bengal,Howrah,Rabi,Pulses,41.04,198.67,4840.85,Rainfed,NPK,78.79,220.86,Alluvial,22.58
CID104,2011-07-14,2011,Punjab,Amritsar,Kharif,Sugarcane,59.3,245.73,4143.78,Drip,Urea,267.63,945.8,Red,25.0
CID105,2011-04-10,2011,Bihar,Bhagalpur,Zaid,Pulses,20.2,114.28,5657.37,Rainfed,NPK,231.84,1018.95,Red,23.54
CID106,2019-10-23,2019,Haryana,Gurgaon,Kharif,Cotton,8.46,56.75,6707.75,Drip,Vermicompost,165.99,763.74,Sandy,26.73
CID107,2015-08-19,2015,Maharashtra,Mumbai,Kharif,Sugarcane,7.76,28.35,3653.25,Rainfed,Compost,249.08,791.42,Alluvial,27.61
CID108,2010-11-11,2010,Karnataka,Bangalore,Rabi,Maize,8.6,53.2,6185.5,Canal,Compost,203.75,707.07,Laterite,28.7
CID109,2020-06-22,2020,West Bengal,Darjeeling,Kharif,Maize,60.9,244.1,4008.2,Canal,Vermicompost,162.63,1010.97,Alluvial,34.74
CID110,2010-08-26,2010,Uttar Pradesh,Lucknow,Kharif,Cotton,44.34,161.24,3636.53,Borewell,Vermicompost,140.97,1117.94,Laterite,26.13
CID111,2021-01-25,2020,Punjab,Patiala,Rabi,Wheat,33.64,146.26,4347.78,Drip,Urea,121.04,923.73,Sandy,33.1
CID112,2013-02-05,2012,Bihar,Bhagalpur,Rabi,Maize,96.8,502.48,5190.88,Drip,NPK,82.24,908.83,Black,24.64
CID113,2020-04-20,2020,West Bengal,Kolkata,Zaid,Cotton,99.72,645.66,6474.69,Canal,DAP,211.51,623.41,Alluvial,20.27
CID114,2023-03-15,2022,Haryana,Faridabad,Rabi,Rice,23.43,42.77,1825.39,Canal,Urea,123.95,988.12,Sandy,31.56
CID115,2022-04-03,2022,Uttar Pradesh,Kanpur,Zaid,Rice,60.13,115.78,1925.52,Borewell,Compost,257.84,971.1,Red,30.82
CID116,2021-07-20,2021,Maharashtra,Mumbai,Kharif,Sugarcane,61.45,338.86,5514.35,Drip,NPK,108.5,439.17,Laterite,33.56
CID117,2018-01-04,2017,Uttar Pradesh,Varanasi,Rabi,Maize,78.03,313.48,4017.44,Drip,Urea,291.57,1016.89,Sandy,22.08
CID118,2015-05-03,2015,Uttar Pradesh,Kanpur,Zaid,Wheat,71.43,292.54,4095.46,Canal,DAP,121.27,963.12,Alluvial,26.74
CID119,2011-06-21,2011,West Bengal,Howrah,Kharif,Sugarcane,88.58,583.11,6582.83,Drip,NPK,63.31,702.01,Red,25.79
CID120,2015-07-06,2015,Haryana,Gurgaon,Kharif,Cotton,65.35,375.65,5748.28,Borewell,Compost,59.58,1117.4,Laterite,30.44
CID121,2010-08-01,2010,Karnataka,Hubli,Kharif,Wheat,26.34,158.3,6009.78,Drip,Compost,77.8,488.1,Alluvial,21.83
CID122,2017-06-01,2017,Uttar Pradesh,Varanasi,Kharif,Wheat,83.83,335.23,3998.98,Canal,Vermicompost,207.99,775.05,Red,24.37
CID123,2020-03-09,2019,Maharashtra,Nagpur,Rabi,Rice,66.77,101.07,1513.68,Rainfed,Vermicompost,66.92,726.06,Sandy,31.8
CID124,2017-06-27,2017,Punjab,Amritsar,Kharif,Cotton,39.3,127.32,3239.81,Canal,Vermicompost,139.27,267.56,Red,30.99
CID125,2012-07-05,2012,Uttar Pradesh,Kanpur,Kharif,Maize,55.06,323.81,5881.05,Borewell,Urea,257.6,884.68,Laterite,29.48
CID126,2011-03-20,2010,Uttar Pradesh,Kanpur,Rabi,Rice,5.34,11.73,2196.82,Canal,Compost,128.9,510.08,Laterite,34.84
CID127,2022-04-28,2022,Maharashtra,Nagpur,Zaid,Rice,29.32,180.99,6172.83,Canal,Compost,266.45,531.92,Black,31.99
CID128,2016-12-17,2016,Uttar Pradesh,Kanpur,Rabi,Rice,50.12,199.74,3985.14,Rainfed,Vermicompost,250.29,927.08,Black,26.46
CID129,2011-08-30,2011,Maharashtra,Pune,Kharif,Maize,66.43,188.59,2838.98,Drip,Vermicompost,91.66,643.91,Laterite,20.64
CID130,2020-09-21,2020,Karnataka,Mysore,Kharif,Wheat,67.45,231.84,3437.26,Borewell,Urea,288.2,342.78,Sandy,30.17
CID131,2013-05-19,2013,Haryana,Gurgaon,Zaid,Maize,36.85,246.78,6696.8,Canal,Urea,201.27,879.06,Alluvial,25.58
CID132,2019-03-24,2018,Bihar,Patna,Rabi,Sugarcane,32.12,85.83,2672.14,Canal,Urea,56.48,386.05,Sandy,25.8
CID133,2022-02-22,2021,Maharashtra,Pune,Rabi,Rice,99.64,270.37,2713.46,Drip,Urea,100.04,335.73,Black,26.78
CID134,2015-05-03,2015,West Bengal,Darjeeling,Zaid,Maize,71.24,306.33,4299.98,Rainfed,DAP,272.83,1051.36,Red,31.91
CID135,2022-06-23,2022,Punjab,Ludhiana,Kharif,Rice,79.25,91.75,1157.7,Rainfed,Urea,166.85,1183.01,Red,29.18
CID136,2021-05-14,2021,Maharashtra,Pune,Zaid,Sugarcane,53.04,297.82,5614.99,Canal,Vermicompost,81.33,517.03,Black,26.75
CID137,2022-05-04,2022,Maharashtra,Nagpur,Zaid,Cotton,59.19,331.86,5606.69,Borewell,DAP,158.15,1110.71,Black,32.47
CID138,2013-01-17,2012,Maharashtra,Nagpur,Rabi,Cotton,23.32,155.89,6684.9,Rainfed,Vermicompost,261.48,450.61,Sandy,24.12
CID139,2018-05-30,2018,Bihar,Patna,Zaid,Rice,59.59,267.19,4483.88,Borewell,Vermicompost,214.68,920.63,Sandy,25.06
CID140,2011-10-18,2011,Punjab,Ludhiana,Kharif,Cotton,77.33,200.13,2587.94,Borewell,NPK,241.74,616.59,Black,27.47
CID141,2017-07-07,2017,Uttar Pradesh,Kanpur,Kharif,Cotton,41.2,153.32,3721.26,Canal,NPK,89.52,615.62,Laterite,23.06
CID142,2015-04-18,2015,West Bengal,Darjeeling,Zaid,Maize,97.56,174.11,1784.6,Rainfed,Compost,178.75,306.18,Red,27.0
CID143,2011-10-26,2011,Haryana,Gurgaon,Kharif,Maize,94.59,585.04,6184.98,Drip,NPK,112.07,1065.31,Red,32.2
CID144,2017-04-14,2017,Haryana,Gurgaon,Zaid,Sugarcane,50.38,143.65,2851.24,Canal,Vermicompost,72.51,593.24,Laterite,34.5
CID145,2011-01-07,2010,Maharashtra,Nagpur,Rabi,Sugarcane,60.15,364.33,6057.1,Drip,NPK,121.44,208.18,Black,26.46
CID146,2015-10-19,2015,West Bengal,Howrah,Kharif,Sugarcane,6.06,26.49,4370.9,Rainfed,NPK,188.31,273.53,Sandy,26.76
CID147,2020-04-13,2020,West Bengal,Darjeeling,Zaid,Wheat,13.74,21.71,1580.09,Rainfed,Vermicompost,248.72,539.09,Alluvial,31.32
CID148,2018-08-21,2018,Bihar,Gaya,Kharif,Wheat,4.85,25.62,5281.55,Drip,DAP,179.83,348.94,Sandy,22.1
CID149,2021-11-29,2021,Karnataka,Hubli,Rabi,Pulses,34.3,204.76,5969.74,Drip,Compost,227.18,499.79,Black,25.53
CID150,2022-05-17,2022,Bihar,Gaya,Zaid,Cotton,63.3,290.01,4581.46,Rainfed,Urea,291.77,982.9,Sandy,28.66
CID151,2012-05-15,2012,Bihar,Gaya,Zaid,Cotton,72.4,408.89,5647.64,Drip,Urea,86.94,880.73,Black,28.59
CID152,2017-11-16,2017,Haryana,Gurgaon,Rabi,Sugarcane,15.99,82.24,5143.0,Drip,DAP,175.45,811.48,Laterite,33.09
CID153,2019-01-07,2018,Bihar,Patna,Rabi,Cotton,48.36,157.7,3260.95,Borewell,Vermicompost,164.92,733.13,Sandy,25.31
CID154,2014-01-29,2013,Karnataka,Bangalore,Rabi,Pulses,30.55,203.12,6648.91,Rainfed,Vermicompost,242.79,904.9,Laterite,24.76
CID155,2015-01-13,2014,West Bengal,Darjeeling,Rabi,Wheat,57.77,246.05,4259.15,Drip,Urea,254.59,1154.61,Red,24.36
CID156,2021-03-31,2020,Maharashtra,Pune,Rabi,Cotton,48.43,107.15,2212.41,Rainfed,DAP,283.26,896.17,Red,21.64
CID157,2020-05-06,2020,Haryana,Gurgaon,Zaid,Rice,64.16,84.37,1314.95,Drip,DAP,132.57,672.4,Red,20.08
CID158,2017-12-30,2017,Karnataka,Hubli,Rabi,Cotton,20.75,140.76,6783.48,Rainfed,Vermicompost,121.35,259.16,Black,29.78
CID159,2010-08-14,2010,Uttar Pradesh,Varanasi,Kharif,Sugarcane,88.34,181.51,2054.73,Canal,Urea,299.29,596.99,Laterite,22.79
CID160,2019-04-09,2019,Punjab,Amritsar,Zaid,Wheat,92.92,279.71,3010.25,Drip,Vermicompost,297.27,743.3,Laterite,33.34
CID161,2013-10-24,2013,Karnataka,Mysore,Kharif,Maize,17.09,64.15,3753.49,Rainfed,DAP,229.65,214.08,Alluvial,31.86
CID162,2020-11-02,2020,Haryana,Hisar,Rabi,Sugarcane,52.01,79.08,1520.43,Canal,NPK,96.2,340.61,Alluvial,34.04
CID163,2017-12-01,2017,Karnataka,Bangalore,Rabi,Maize,30.89,164.87,5337.3,Canal,Compost,115.39,559.55,Red,20.93
CID164,2016-04-15,2016,Maharashtra,Nagpur,Zaid,Pulses,92.39,584.53,6326.81,Rainfed,DAP,222.57,838.71,Alluvial,25.51
CID165,2012-11-21,2012,Haryana,Faridabad,Rabi,Cotton,98.89,320.58,3241.75,Drip,Vermicompost,239.34,1001.99,Red,31.43
